slug,date,title
fine-ill-do-it-myself,2026-01-15 00:00:00 -0600,"Fine, I'll Do It Myself"
postwave,2025-12-15 00:00:00 -0600,Postwave
random-thoughts-about-ai,2025-10-21 00:00:00 -0500,Random Thoughts About AI
just-use-a-laptop,2025-10-15 00:00:00 -0500,Just Use a Laptop
playing-with-linux,2025-09-08 00:00:00 -0500,Playing With Linux
another-and-or-not-record,2025-08-13 00:00:00 -0500,Another And Or Not Record
building-a-programming-language-in-crystal,2025-07-30 00:00:00 -0500,Building A Programming Language In Crystal
making-pizza,2025-04-17 00:00:00 -0500,Making Pizza
pragmatic-divesting-from-enshitifcation,2025-03-19 00:00:00 -0500,Pragmatic Divesting From Enshitifcation
dont-break-prod,2025-03-03 00:00:00 -0600,Don't Break Prod
homeboard,2024-09-11 00:00:00 -0500,Homeboard
now,2024-08-21 00:00:00 -0500,Now
and-or-not,2023-12-06 00:00:00 -0600,And Or Not
trackstar,2020-07-11 00:00:00 -0500,Trackstar
recording-let-er-rip,2019-01-30 00:00:00 -0600,Recording Let 'er RIP!
starting-a-skath-band,2017-11-06 00:00:00 -0600,Starting A Skath Band
making-moola,2017-07-11 00:00:00 -0500,Making Moola
inktober-2016,2016-11-03 00:00:00 -0500,Inktober 2016
dont-screw-it-up,2016-09-17 00:00:00 -0500,Don't Screw It Up
one-year-of-input-coffee,2016-05-26 00:00:00 -0500,One Year of Input Coffee
new-guitar-pedal,2016-02-10 00:00:00 -0600,New Guitar Pedal
inktober-2015,2015-11-01 00:00:00 -0500,Inktober 2015
darwinning-updates,2015-09-27 00:00:00 -0500,Darwinning Updates
our-story-recording,2015-08-10 00:00:00 -0500,Our Story Recording
input-coffee-v2,2015-07-14 00:00:00 -0500,Input Coffee (v2)
divorce-and-the-american-south-cover,2015-05-11 00:00:00 -0500,Divorce and the American South Cover
bloomfilter-rs,2015-04-20 00:00:00 -0500,Bloomfilter RS
aaron-west-and-the-roaring-twenties-drawings,2015-02-07 00:00:00 -0600,Aaron West and the Roaring Twenties Drawings
thing-a-week-recap,2015-01-11 00:00:00 -0600,Thing A Week - Recap
thing-a-week-36-theremino,2014-10-20 00:00:00 -0500,Thing A Week 36 - Theremino
reclaboratory-early-tester-launch,2014-10-14 00:00:00 -0500,RecLaboratory Early Tester Launch
thing-a-week-35-reclaboratory-record-track-from-song,2014-09-22 00:00:00 -0500,Thing A Week 35 - RecLaboratory Record Track From Song
thing-a-week-34-instrumental-indie-music,2014-09-15 00:00:00 -0500,Thing A Week 34 - Instrumental Indie Music
thing-a-week-33-watercolor-painting,2014-09-08 00:00:00 -0500,Thing A Week 33 - Watercolor Painting
thing-a-week-32-in-browser-audio-recording,2014-09-02 00:00:00 -0500,Thing A Week 32 - In Browser Audio Recording
thing-a-week-31-reclaboratory-instrument-icons,2014-08-24 00:00:00 -0500,Thing A Week 31 - RecLaboratory Instrument Icons
thing-a-week-30-reclaboratory-servers,2014-08-18 00:00:00 -0500,Thing A Week 30 - RecLaboratory Servers
thing-a-week-29-wedding-ring-box,2014-08-07 00:00:00 -0500,Thing A Week 29 - Wedding Ring Box
thing-a-week-28-not-much,2014-07-22 00:00:00 -0500,Thing A Week 28 - Not Much
thing-a-week-27-even-more-sauropod,2014-07-15 00:00:00 -0500,Thing A Week 27 - Even More Sauropod
thing-a-week-26-more-sauropod,2014-07-08 00:00:00 -0500,Thing A Week 26 - More Sauropod
thing-a-week-25-sauropod-and-wedding-stuff,2014-06-30 00:00:00 -0500,Thing A Week 25 - Sauropod and Wedding Stuff
